held_out	w_reversal	w_rev_dt	w_lgbm	w_ssgsea	intercept	C_best
GSE20194	0.4394	-154.011	154.2071	0.3958	-0.2666	10000.0
GSE20271	0.8262	-147.9501	148.2301	0.3304	-0.3292	10000.0
GSE32646	0.9333	-245.8803	246.2951	0.3635	-0.4051	10000.0
GSE41998	-0.0037	0.1585	0.1691	0.0507	-0.5478	0.005995
GSE4779	1.004	-273.223	273.6585	0.2547	-0.4481	10000.0
GSE50948	0.9885	-291.9545	292.3717	0.341	-0.4414	10000.0
GSE66999	0.7049	-108.5309	108.483	0.2956	-0.5551	10000.0
GSE6861	1.0457	-280.0962	280.5286	0.2473	-0.4549	10000.0
GSE82172	0.0319	0.0613	0.0613	-0.074	-0.2032	0.005995
