held_out_dataset,cancer_type,n_train,n_test,n_test_responders,n_test_nonresponders,auc,balanced_accuracy,sensitivity,specificity
GSE104645,Colorectal cancer,3604,126,112,14,0.5529,0.5134,0.3839,0.6429
GSE104958,Esophageal cancer,3684,46,12,34,0.6225,0.5956,0.75,0.4412
GSE109211,Liver cancer,3590,140,42,98,0.5299,0.5595,0.7619,0.3571
GSE131978,Ovarian cancer,3693,37,18,19,0.4678,0.5161,0.6111,0.4211
GSE14615,Leukemia,3710,20,6,14,0.4048,0.3929,0.5,0.2857
GSE14671,Leukemia,3671,59,41,18,0.5312,0.5461,0.5366,0.5556
GSE173263,Lymphoma,3691,39,29,10,0.5897,0.5431,0.5862,0.5
GSE19293,Melanoma,3678,52,24,28,0.5729,0.5655,0.6667,0.4643
GSE20181,Breast cancer,3576,154,110,44,0.4347,0.4614,0.2636,0.6591
GSE20194,Breast cancer,3452,278,56,222,0.8939,0.7921,0.6429,0.9414
GSE20271,Breast cancer,3552,178,26,152,0.7606,0.6989,0.8846,0.5132
GSE21974,Breast cancer,3673,57,18,39,0.7066,0.6346,0.8333,0.4359
GSE22093,Breast cancer,3633,97,28,69,0.6806,0.6553,0.5714,0.7391
GSE23988,Breast cancer,3669,61,20,41,0.9159,0.8012,0.7,0.9024
GSE25066,Breast cancer,3242,488,99,389,0.8609,0.7924,0.7879,0.7969
GSE28702,Colorectal cancer,3647,83,42,41,0.4187,0.4332,0.4762,0.3902
GSE32646,Breast cancer,3615,115,27,88,0.7471,0.6543,0.5926,0.7159
GSE35640,Melanoma,3674,56,22,34,0.4947,0.4345,0.5455,0.3235
GSE37946,Breast cancer,3680,50,27,23,0.8196,0.7279,0.6296,0.8261
GSE41998,Breast cancer,3524,206,201,5,0.606,0.6766,0.3532,1.0
GSE44272,Breast cancer,3677,53,35,18,0.4222,0.4357,0.3714,0.5
GSE4779,Breast cancer,3628,102,39,63,0.9752,0.9078,0.9744,0.8413
GSE48905,Breast cancer,3691,39,15,24,0.4806,0.525,0.4667,0.5833
GSE50948,Breast cancer,3574,156,53,103,0.5136,0.5223,0.4717,0.5728
GSE5122,Leukemia,3673,57,4,53,0.4906,0.5448,0.75,0.3396
GSE62321,Colorectal cancer,3673,57,26,31,0.3412,0.4318,0.1538,0.7097
GSE63885,Ovarian cancer,3662,68,65,3,0.5487,0.3744,0.4154,0.3333
GSE65021,Head and neck cancer,3690,40,31,9,0.5735,0.5824,0.3871,0.7778
GSE66999,Breast cancer,3654,76,70,6,0.5952,0.45,0.4,0.5
GSE6861,Breast cancer,3569,161,66,95,0.8904,0.8266,0.8636,0.7895
GSE68871,Myeloma,3612,118,97,21,0.5793,0.5479,0.3814,0.7143
GSE72970,Colorectal cancer,3606,124,63,61,0.5295,0.5083,0.4921,0.5246
GSE73578,Leukemia,3667,63,40,23,0.7,0.6196,0.5,0.7391
GSE76360,Breast cancer,3634,96,66,30,0.501,0.4697,0.2727,0.6667
GSE82172,Breast cancer,3578,152,21,131,0.4969,0.5071,0.5714,0.4427
GSE8970,Leukemia,3704,26,13,13,0.6272,0.5769,0.5385,0.6154
MEAN_ALL,ALL,3626,103,46,57,0.6077,0.5785,0.558,0.5989
MEAN_BREAST,Breast cancer,3590,139,54,85,0.6834,0.641,0.5917,0.6904
