held_out_dataset,n_train,n_test,n_test_responders,n_test_nonresponders,auc,balanced_accuracy,sensitivity,specificity
GSE20194,1634,278,56,222,0.8894,0.7475,0.5536,0.9414
GSE20271,1734,178,26,152,0.712,0.6361,0.6538,0.6184
GSE25066,1424,488,99,389,0.7983,0.6964,0.596,0.7969
GSE32646,1797,115,27,88,0.7555,0.6883,0.5926,0.7841
GSE41998,1706,206,201,5,0.4627,0.5493,0.2985,0.8
GSE4779,1810,102,39,63,0.974,0.898,0.9231,0.873
GSE50948,1756,156,53,103,0.5153,0.535,0.2642,0.8058
GSE66999,1836,76,70,6,0.4714,0.4,0.3,0.5
GSE6861,1751,161,66,95,0.8496,0.7647,0.803,0.7263
GSE82172,1760,152,21,131,0.5158,0.5273,0.4286,0.626
MEAN,1720,191,65,125,0.6944,0.6443,0.5413,0.7472
